ticker,name,listed_date,sic_code,market_cap,weighted_shares
A,Agilent Technologies Inc.,1999-11-18,3826,34423116373.439995,298708056.0
AA,Alcoa Corporation,2016-10-18,3334,8936538836.7,184448686.0
AAC,Ares Acquisition Corporation,2021-03-25,6770,1227500000.0,125000000.0
AACI,Armada Acquisition Corp. I Common Stock,2021-11-10,6770,204307501.29999998,20709500.0
AADI,"Aadi Bioscience, Inc. Common Stock",2021-08-27,2834,269732612.24,20941973.0
AAIC,Arlington Asset Investment Corp.,1997-12-23,6798,94030163.03999999,29662512.0
AAL,American Airlines Group Inc.,2013-12-10,4512,8362503668.0,649514848.0
AAMC,Altisource Asset Mgmt Corp,2012-12-12,6500,21933413.040000003,2061411.0
AAME,Atlantic American Corp,1973-01-02,6311,61006692.24,20403576.0
AAN,"The Aaron's Company, Inc.",2020-11-25,7359,512836993.4,30708802.0
AAOI,"Applied Optoelectronics, Inc.",2013-09-26,3674,54162800.72,27634082.0
AAON,Aaon Inc,1990-12-01,3585,2753332714.6400003,53071178.0
AAP,ADVANCE AUTO PARTS INC,2001-11-29,5531,10373654862.75,60639825.0
AAPL,Apple Inc.,1980-12-12,3571,2145912222885.0002,16185181000.0
AAQC,Accelerate Acquisition Corp.,2021-05-10,6770,488500000.0,50000000.0
AAT,"AMERICAN ASSETS TRUST, INC.",2011-01-13,6798,1736982634.1,60522043.0
AATC,Autoscope Technologies Corporation Common Stock,1995-05-04,3829,28958221.1968,5391488.0
AAU,Almaden Minerals Ltd.,2005-12-19,,34161132.300192,137221408.0
AAWW,"Atlas Air Worldwide Holdings, Inc.",2005-11-09,4522,1824481328.8799999,28190379.0
AB,"AllianceBernstein Holding, L.P.",1992-03-09,6282,4052499147.06,99594474.0
ABBV,ABBVIE INC.,2012-12-10,2834,242800041849.15848,1767110083.0
ABC,AmerisourceBergen Corp.,1995-04-04,5122,29578418500.5,209464050.0
ABCB,Ameris Bancorp,1994-05-19,6022,2894083268.72,69435779.0
ABCL,AbCellera Biologics Inc. Common Shares,2020-12-11,2834,2522413519.38,284536212.0
ABEO,Abeona Therapeutics Inc. Common Stock,1980-09-19,2834,22924126.524,146949529.0
ABG,"Asbury Automotive Group, Inc.",2002-03-13,5500,3831370656.0,22131300.0
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,2021-02-17,6770,189269531.01000002,19332550.0
ABIO,"ARCA biopharma, Inc.",1997-08-08,2835,32855126.039999995,14410143.0
ABM,"ABM Industries, Inc.",1984-07-19,7340,2559747501.96,66869057.0
ABMD,Abiomed Inc,1987-07-30,3841,10557847661.955,45563937.0
ABNB,"Airbnb, Inc. Class A Common Stock",2020-12-10,7340,62615248632.2,636463190.0
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",2021-07-01,2836,144184478.48,40501258.0
ABR,"Arbor Realty Trust, Inc.",2004-04-07,6798,2144308561.83,160202358.0
ABSI,Absci Corporation Common Stock,2021-07-22,8731,311054307.2,92852032.0
ABST,Absolute Software Corporation Common Stock,,,410348189.28,51038332.0
ABT,Abbott Laboratories,1949-04-19,2834,178858754821.35,1750942289.0
ABTX,"Allegiance Bancshares, Inc.",2015-10-08,6022,790668495.1999999,20378054.0
ABUS,Arbutus Biopharma Corporation Common Stock,2007-07-26,2834,358435051.17,148728237.0
ABVC,"ABVC BioPharma, Inc. Common Stock",2004-11-09,2834,32898553.120699998,32307329.0
AC,"Associated Capital Group, Inc.",2015-11-09,6211,807681864.16,22043719.0
ACA,"Arcosa, Inc. Common Stock",2018-10-16,3440,2413637296.65,48321067.0
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,2022-03-07,6770,,30000000.0
ACAD,Acadia Pharmaceuticals Inc.,2004-05-27,2834,2608698457.6,161429360.0
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,2021-04-26,6770,421331250.0,43125000.0
ACAQ,Athena Consumer Acquisition Corp.,2021-12-10,6770,323026600.0,32110000.0
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,2022-03-24,6770,110974300.0,11255000.0
ACB,Aurora Cannabis Inc. Common Shares,2014-07-10,,395258579.64,297746576.0
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,2021-05-21,5961,62235119.99999999,6054000.0
ACC,"American Campus Communities, Inc.",2004-08-12,6798,8984102091.119999,139483032.0
ACCD,"Accolade, Inc. Common Stock",2020-07-02,7389,374493953.71500003,67294511.0
ACCO,Acco Brands Corporation,1999-11-09,2780,643019016.51,96986277.0
ACDI,Ascendant Digital Acquisition Corp. III,2021-12-31,6770,376875000.0,37500000.0
ACEL,"Accel Entertainment, Inc.",2017-08-18,7900,947882240.0,92566625.0
ACER,Acer Therapeutics Inc. Common Stock (DE),2002-09-17,2834,27653362.7128,15310244.0
ACET,"Adicet Bio, Inc. Common Stock",2020-09-16,2834,450449059.82,40004357.0
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,2020-09-17,3674,141223552.5663,13952277.0
ACGL,Arch Capital Group Ltd,1995-09-14,6331,16667661270.15,375651595.0
ACHC,"Acadia Healthcare Company, Inc.",2011-11-01,8093,5786465769.12,90526686.0
ACHR,Archer Aviation Inc.,2021-09-17,3721,960514130.655,240429069.0
ACHV,"Achieve Life Sciences, Inc.",1995-10-12,2835,59083520.1375,9681855.0
ACI,"Albertsons Companies, Inc.",2020-06-26,5411,15049329968.609999,528881742.0
ACII,Atlas Crest Investment Corp. II,2021-03-29,6770,422625000.00000006,43125000.0
ACIU,AC Immune SA,2016-09-23,,259847634.34,83552294.0
ACIW,"ACI Worldwide, Inc.",1995-02-23,7372,2982154906.7400002,114786563.0
ACLS,Axcelis Technologies Inc,2000-07-11,3559,1842539436.0,33020420.0
ACLX,"Arcellx, Inc. Common Stock",2022-02-04,2836,664075072.18,35736584.0
ACM,Aecom,2007-05-10,8711,8958764122.560001,141038478.0
ACMR,"ACM Research, Inc. Class A Common Stock",2017-11-03,3559,809033033.875,59161465.0
ACN,Accenture PLC,2001-07-19,7389,173900172068.80002,633400736.0
ACNB,ACNB Corp,1995-04-25,6022,275664506.48,8707028.0
ACON,"Aclarion, Inc. Common Stock",2022-04-22,8071,7509436.5515,7821515.0
ACOR,"Acorda Therapeutics, Inc.",2006-02-10,2836,8528804.1381,24277837.0
ACQR,Independence Holdings Corp. Class A Ordinary Share,2021-04-29,6770,607488623.0,61988635.0
ACR,ACRES Commercial Realty Corp.,2006-02-07,6798,77445663.48,9100548.0
ACRE,Ares Commercial Real Estate Corporation,2012-04-26,6798,644278026.105,54438363.0
ACRO,Acropolis Infrastructure Acquisition Corp.,2021-08-30,6770,416587500.0,43125000.0
ACRS,"Aclaris Therapeutics, Inc.",2015-10-07,2834,919496080.4300001,66581903.0
ACRX,"AcelRx Pharmaceuticals, Inc",2011-02-11,2834,29276110.268000003,147116132.0
ACST,"Acasti Pharma, Inc.",2011-04-26,2834,42782384.778,44288183.0
ACT,"Enact Holdings, Inc. Common Stock",2021-09-16,6411,3585785662.38,162842219.0
